,FIPS,NAMELSAD,Percent Not White,Percent Black
0,17001,Adams County,10.0,3.0
1,17003,Alexander County,36.0,30.0
2,17005,Bond County,13.0,6.0
3,17007,Boone County,27.0,2.0
4,17009,Brown County,23.0,16.0
5,17011,Bureau County,11.0,0.0
6,17013,Calhoun County,4.0,0.0
7,17015,Carroll County,10.0,4.0
8,17017,Cass County,26.0,5.0
9,17019,Champaign County,37.0,13.0
10,17021,Christian County,7.0,1.0
11,17023,Clark County,4.0,0.0
12,17025,Clay County,5.0,0.0
13,17027,Clinton County,10.0,3.0
14,17029,Coles County,12.0,4.0
15,17031,Cook County,55.0,22.0
16,17033,Crawford County,8.0,3.0
17,17035,Cumberland County,4.0,0.0
18,17037,DeKalb County,26.0,8.0
19,17039,De Witt County,6.0,0.0
20,17041,Douglas County,9.0,0.0
21,17043,DuPage County,33.0,4.0
22,17045,Edgar County,4.0,0.0
23,17047,Edwards County,3.0,0.0
24,17049,Effingham County,5.0,0.0
25,17051,Fayette County,7.0,3.0
26,17053,Ford County,7.0,0.0
27,17055,Franklin County,6.0,0.0
28,17057,Fulton County,8.0,3.0
29,17059,Gallatin County,4.0,0.0
30,17061,Greene County,4.0,0.0
31,17063,Grundy County,14.0,1.0
32,17065,Hamilton County,4.0,0.0
33,17067,Hancock County,5.0,0.0
34,17069,Hardin County,6.0,0.0
35,17071,Henderson County,4.0,0.0
36,17073,Henry County,10.0,2.0
37,17075,Iroquois County,10.0,0.0
38,17077,Jackson County,27.0,14.0
39,17079,Jasper County,3.0,0.0
40,17081,Jefferson County,15.0,7.0
41,17083,Jersey County,6.0,0.0
42,17085,Jo Daviess County,6.0,0.0
43,17087,Johnson County,17.0,10.0
44,17089,Kane County,40.0,5.0
45,17091,Kankakee County,28.0,14.0
46,17093,Kendall County,31.0,7.0
47,17095,Knox County,18.0,8.0
48,17097,Lake County,39.0,6.0
49,17099,LaSalle County,14.0,2.0
50,17101,Lawrence County,15.0,9.0
51,17103,Lee County,14.0,5.0
52,17105,Livingston County,10.0,3.0
53,17107,Logan County,11.0,5.0
54,17109,McDonough County,14.0,5.0
55,17111,McHenry County,20.0,1.0
56,17113,McLean County,22.0,8.0
57,17115,Macon County,27.0,18.0
58,17117,Macoupin County,6.0,0.0
59,17119,Madison County,18.0,9.0
60,17121,Marion County,11.0,4.0
61,17123,Marshall County,6.0,0.0
62,17125,Mason County,5.0,0.0
63,17127,Massac County,14.0,6.0
64,17129,Menard County,6.0,0.0
65,17131,Mercer County,5.0,0.0
66,17133,Monroe County,6.0,0.0
67,17135,Montgomery County,8.0,3.0
68,17137,Morgan County,12.0,6.0
69,17139,Moultrie County,4.0,0.0
70,17141,Ogle County,14.0,1.0
71,17143,Peoria County,32.0,18.0
72,17145,Perry County,14.0,8.0
73,17147,Piatt County,5.0,0.0
74,17149,Pike County,5.0,0.0
75,17151,Pope County,6.0,1.0
76,17153,Pulaski County,37.0,28.0
77,17155,Putnam County,8.0,0.0
78,17157,Randolph County,15.0,7.0
79,17159,Richland County,5.0,0.0
80,17161,Rock Island County,28.0,11.0
81,17163,St. Clair County,40.0,29.0
82,17165,Saline County,9.0,2.0
83,17167,Sangamon County,22.0,13.0
84,17169,Schuyler County,10.0,4.0
85,17171,Scott County,3.0,0.0
86,17173,Shelby County,3.0,0.0
87,17175,Stark County,5.0,0.0
88,17177,Stephenson County,19.0,9.0
89,17179,Tazewell County,7.0,1.0
90,17181,Union County,10.0,1.0
91,17183,Vermilion County,22.0,14.0
92,17185,Wabash County,6.0,0.0
93,17187,Warren County,17.0,3.0
94,17189,Washington County,5.0,0.0
95,17191,Wayne County,4.0,0.0
96,17193,White County,5.0,0.0
97,17195,Whiteside County,14.0,1.0
98,17197,Will County,36.0,11.0
99,17199,Williamson County,12.0,4.0
100,17201,Winnebago County,33.0,13.0
101,17203,Woodford County,6.0,0.0
